feat,side,mode,n,y3,mkt,res,lo,hi,res_ex,n_ex,roi_lin,roi_mul,abs_res
f_speed_x_shortening,最大残差(q4),データ選択,4581,22.46234446627374,21.958830862538644,0.5035136037350951,-0.7050229747442391,1.7120501822144294,-4.320236064826021,26,74.0491896177417,71.50279939862949,0.5035136037350951
f_speed_x_shortening,最小残差(q3),データ選択,559,11.627906976744185,13.310815199691707,-1.6829082229475198,-4.340317900856071,0.974501454961032,-0.2833228625272133,4047,63.66368594099929,61.06242821951609,1.6829082229475198
f_stamina_x_extension,最上位,事前指定,2312,20.588235294117645,22.431930766282314,-1.8436954721646692,-3.491911532140371,-0.19547941218896758,-0.9611071621399431,2297,62.89994650721783,64.15487200156561,1.8436954721646692
f_stamina_x_extension,最大残差(q3),データ選択,812,9.852216748768473,8.854472912461441,0.9977438363070329,-1.0521084258350775,3.047596098449143,-0.00237307233634243,3794,76.39678322245841,77.77650432130285,0.9977438363070329
f_stamina_x_extension,最小残差(q9),データ選択,2312,20.588235294117645,22.431930766282314,-1.8436954721646692,-3.491911532140371,-0.19547941218896758,-0.9611071621399431,2297,62.89994650721783,64.15487200156561,1.8436954721646692
f_dist_confidence,最上位,事前指定,3839,20.395936441781714,22.033931130492164,-1.6379946887104508,-2.912631507299416,-0.36335787012148546,-1.7715920980108129,770,63.877025228625364,64.70365859079897,1.6379946887104508
f_dist_confidence,最下位,事前指定,1873,21.99679658302189,23.245253345260586,-1.2484567622386948,-3.124414806963002,0.6275012824856121,-1.0538164267908434,2736,65.72733037936621,66.1458087083711,1.2484567622386948
f_dist_confidence,最大残差(q8),データ選択,454,20.92511013215859,18.73775291466432,2.1873572174942706,-1.5544492301704707,5.929163665159011,-0.06240511307759877,4151,82.0474467830978,78.0597975060922,2.1873572174942706
f_dist_confidence,最小残差(q7),データ選択,2395,21.5866388308977,23.422300856170068,-1.8356620252723639,-3.483410279730348,-0.18791377081437988,1.1357385919448182,2209,62.938105379956276,64.42176896051025,1.8356620252723639
f_course_stamina_demand,最上位,事前指定,2103,22.44412743699477,22.6610080086041,-0.21688057160932916,-2.000060397829464,1.5662992546108054,0.327520312224977,2506,70.62731728485569,69.23101157946125,0.21688057160932916
f_course_stamina_demand,最下位,事前指定,2811,20.526503023834934,21.426988879441062,-0.9004858556061257,-2.3936044155350875,0.5926327043228361,0.007208359496632677,1798,67.38019218587091,66.96239819038398,0.9004858556061257
f_course_stamina_demand,最大残差(q6),データ選択,2202,22.524977293369663,22.384976502607813,0.14000079076185168,-1.6048586639439424,1.8848602454676457,-0.04529545097875787,2404,72.3225037561188,70.33717067440806,0.14000079076185168
f_course_stamina_demand,最小残差(q8),データ選択,1676,20.286396181384248,21.280170365628255,-0.993774184244009,-2.9190268682054294,0.9314784997174116,-0.07982504235169163,2929,66.93707262484097,66.63570209800314,0.993774184244009
f_course_speed_demand,最上位,事前指定,2447,19.98365345320801,21.032172415788008,-1.0485189625800002,-2.632922818354467,0.5358848931944666,-0.14702702739037565,2162,66.677034927745,66.4152684166223,1.0485189625800002
f_course_speed_demand,最下位,事前指定,2721,21.35244395442852,21.272838494750538,0.07960545967798105,-1.460172899551687,1.6193838189076488,0.18287875674068144,1888,72.03562593347041,70.16157400822952,0.07960545967798105
f_course_speed_demand,最大残差(q3),データ選択,2180,23.486238532110093,23.338194296476455,0.14804423563363756,-1.6314817516032445,1.9275702228705196,-0.2813326972911173,2426,72.36071011925978,70.34340585819673,0.14804423563363756
f_course_speed_demand,最小残差(q9),データ選択,2447,19.98365345320801,21.032172415788008,-1.0485189625800002,-2.632922818354467,0.5358848931944666,-0.14702702739037565,2162,66.677034927745,66.4152684166223,1.0485189625800002
f_course_fit_score,最上位,事前指定,1781,20.774845592363842,21.431051925604944,-0.6562063332411022,-2.5403957542586957,1.227983087776491,0.8728933302284247,2828,68.54051991710477,67.75970269435301,0.6562063332411022
