drop,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
近走成績,W1,42,109,0.764067603156497,0.7832138412782126,0.45935723185539246,0.011592434348143001,0.14889709651470184,1154
近走成績,W2,42,109,0.776525250127833,0.7936978954859698,0.44740116596221924,0.020231210582037567,0.14151404798030853,726
近走成績,W1,7,109,0.7647757045558029,0.7845551109954212,0.45930925011634827,0.018170199415352754,0.14863857626914978,1228
近走成績,W2,7,109,0.7747349358304855,0.7922164234181314,0.4464329779148102,0.0202683061753569,0.14189128577709198,903
近走成績,W1,2026,109,0.7649957690347631,0.7839475127551453,0.4586448669433594,0.0175376828254971,0.14841312170028687,1309
近走成績,W2,2026,109,0.7761986688989949,0.7936352947599897,0.4398405849933624,0.019860791110489592,0.1411305069923401,809
近走成績,W3,42,109,0.8000109307672293,0.7944482142623286,0.4170115292072296,0.010780959523983644,0.13336005806922913,1112
近走成績,W3,2026,109,0.8001321611786457,0.7940561828435507,0.419544517993927,0.01354531278796724,0.1334800124168396,1178
近走成績,W3,7,109,0.80042975274719,0.7948030190663322,0.41746100783348083,0.014155875041006535,0.13338163495063782,1423
コース適性,W1,42,111,0.7697055424626729,0.7871404618969978,0.4552426338195801,0.01597967382572194,0.14751560986042023,1133
コース適性,W1,7,111,0.7694725849060061,0.7880613742186686,0.4549083709716797,0.016530113065277657,0.14739878475666046,1263
コース適性,W2,42,111,0.7802946755029759,0.799312662856024,0.43858787417411804,0.019225748443448373,0.14037837088108063,905
コース適性,W1,2026,111,0.769747987831649,0.7881687573528562,0.4556136727333069,0.016874582737687507,0.14764463901519775,1264
コース適性,W2,7,111,0.7833806193315627,0.8009758182338499,0.43533527851104736,0.01503270788650596,0.13976116478443146,486
コース適性,W2,2026,111,0.7797485133881099,0.7991449823400057,0.4430575370788574,0.01713674230282997,0.14059776067733765,857
コース適性,W3,42,111,0.8019277256907749,0.7976267851192488,0.4153730571269989,0.013046012076915088,0.1328783929347992,1230
コース適性,W3,2026,111,0.8033508238326589,0.7987233332541106,0.41527900099754333,0.01224665867319421,0.13266651332378387,1016
コース適性,W3,7,111,0.8027091897039421,0.7972192325060373,0.41600462794303894,0.012225924729678372,0.13279859721660614,1273
ペース適性,W1,42,113,0.7687305882839925,0.7878236700972633,0.4556247293949127,0.0174205780626134,0.14771436154842377,1071
ペース適性,W2,42,113,0.7816732175119337,0.8004484188845209,0.4369758665561676,0.014780567868313034,0.14017564058303833,493
ペース適性,W1,7,113,0.7693729010578432,0.7884832608044084,0.4561774432659149,0.01688532108167335,0.14783285558223724,1159
ペース適性,W1,2026,113,0.7688056056387537,0.7876420362832659,0.4554193615913391,0.016541150803949262,0.14754627645015717,1249
ペース適性,W2,2026,113,0.7810999449234219,0.8007901341255855,0.43691813945770264,0.016617041580225835,0.1401781290769577,560
ペース適性,W2,7,113,0.7793882649501475,0.7989876568312925,0.4393478333950043,0.0211034770588912,0.14108750224113464,693
ペース適性,W3,42,113,0.802729887579062,0.7984463769409376,0.4164389371871948,0.015015013151565134,0.13266612589359283,1261
ペース適性,W3,2026,113,0.8027199201691542,0.7970522584065456,0.41647231578826904,0.012526082374051213,0.13266216218471527,1078
ペース適性,W3,7,113,0.8026132354994693,0.7970669307856586,0.41752442717552185,0.01396097600725201,0.1330765336751938,1110
距離適性,W1,42,122,0.7685460476270289,0.7866035462260604,0.4551650881767273,0.015411564732045222,0.1476631462574005,1079
距離適性,W2,42,122,0.7805778706736473,0.7996404929736568,0.4376962184906006,0.015154797075121695,0.1404183804988861,572
距離適性,W2,7,122,0.7814124361462317,0.7998220586131067,0.43668365478515625,0.016125541834277085,0.13998886942863464,490
距離適性,W1,7,122,0.7693027695009496,0.7870568661659532,0.45710572600364685,0.013488726200349046,0.1475507766008377,1352
距離適性,W1,2026,122,0.7688101860742547,0.7867994524819436,0.4552593231201172,0.0180078245949633,0.1475578099489212,1277
距離適性,W2,2026,122,0.7817715220424427,0.8007322402211078,0.4370083212852478,0.015806329022171616,0.1400151550769806,513
距離適性,W3,42,122,0.8024255715856519,0.7990210249129722,0.41806137561798096,0.014707685143656937,0.1332104653120041,1215
斤量・馬体,W1,42,124,0.7696609256279778,0.7875236089976192,0.45767033100128174,0.013817710786676417,0.1474040299654007,1207
距離適性,W3,2026,122,0.8017443062720858,0.7991208213428064,0.4177762567996979,0.012384919235887701,0.13295961916446686,1624
距離適性,W3,7,122,0.8013182352667374,0.7990441854452909,0.41672927141189575,0.011878861950567962,0.1330333948135376,1800
斤量・馬体,W2,42,124,0.7805726624866006,0.7994522201135662,0.44061070680618286,0.01597656752817229,0.14080354571342468,605
斤量・馬体,W1,7,124,0.7698403090538585,0.7879449858532914,0.45770537853240967,0.015033958499120053,0.1472862809896469,1537
斤量・馬体,W2,7,124,0.7781178393240815,0.7962995910713478,0.44055211544036865,0.020375088999237814,0.1411784589290619,779
斤量・馬体,W1,2026,124,0.7696587202331069,0.787737185895837,0.4572107195854187,0.014841054824582617,0.1472080945968628,1184
斤量・馬体,W2,2026,124,0.7797315402785374,0.7976709235160333,0.4406820833683014,0.018310113762394338,0.1408415585756302,641
斤量・馬体,W3,42,124,0.8014683663977914,0.7968588497727842,0.41647449135780334,0.01371361131448046,0.13290506601333618,1028
斤量・馬体,W3,7,124,0.8005120673381045,0.795107137469764,0.41681015491485596,0.01245635331048666,0.13324205577373505,1526
斤量・馬体,W3,2026,124,0.8015886906810346,0.7964629380553981,0.41579127311706543,0.014048047271260317,0.13275641202926636,1076
クラス適性,W1,42,125,0.7684613604639879,0.787550114961121,0.45664718747138977,0.012922564229024555,0.14776729047298431,1546
クラス適性,W1,7,125,0.7684068363169498,0.7871924543638671,0.45592403411865234,0.013611071266559137,0.1475886106491089,1162
クラス適性,W2,42,125,0.7800542153670907,0.8004694819107436,0.44226089119911194,0.01754912553095362,0.1407678723335266,782
クラス適性,W1,2026,125,0.7678825630624182,0.7857902719036107,0.45594966411590576,0.019983024728345792,0.1479644775390625,830
クラス適性,W2,7,125,0.782168413796413,0.8012306926181978,0.4376605451107025,0.0161404991582154,0.14016306400299072,443
