only,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
斤量・馬体,W2,2026,7,0.5774138412406943,0.5878255237750968,0.518496036529541,0.021044111857583016,0.1683708280324936,600
斤量・馬体,W2,42,7,0.5769886764713268,0.5895610465335201,0.5183002352714539,0.019546768492338086,0.16834205389022827,1114
斤量・馬体,W3,2026,7,0.5931658096283845,0.597475768747784,0.5262148976325989,0.0122133584011354,0.16586478054523468,164
クラス適性,W2,42,6,0.7319078742393955,0.7402473481767655,0.46946102380752563,0.018636416916006027,0.15102437138557434,632
クラス適性,W1,42,6,0.725315931297539,0.75234271938952,0.4910200834274292,0.018532241516841443,0.15697452425956726,871
クラス適性,W1,7,6,0.7252914683790483,0.7528057242006923,0.4888441562652588,0.017335679856865727,0.15675440430641174,829
クラス適性,W1,2026,6,0.7250233602210552,0.7518960259405029,0.4896748960018158,0.0166022142183662,0.1569889634847641,804
クラス適性,W3,7,6,0.7481061444265298,0.7474785334605425,0.45310530066490173,0.020484495730222915,0.14429016411304474,475
クラス適性,W3,42,6,0.7484227169957596,0.7476250147330088,0.4526333212852478,0.017595373739251786,0.14413349330425262,648
クラス適性,W2,2026,6,0.7321091799690893,0.7403587821758317,0.46986690163612366,0.01377844740106754,0.15111392736434937,709
クラス適性,W2,7,6,0.7320854641173583,0.7406393087373669,0.46919503808021545,0.013614746574375685,0.151369109749794,824
クラス適性,W3,2026,6,0.7484471347654864,0.7477850770506044,0.4528263211250305,0.019169572202680032,0.14414146542549133,591
実力レーティング,W1,7,5,0.7212013430515473,0.7212784098053034,0.483569860458374,0.013174553526372467,0.15741027891635895,489
実力レーティング,W1,2026,5,0.721240972300919,0.7213553790454726,0.4842093586921692,0.015556477484622466,0.15770982205867767,513
実力レーティング,W1,42,5,0.7211262239093303,0.7215401561948853,0.48418474197387695,0.013686373203050627,0.157806396484375,674
実力レーティング,W3,42,5,0.7534591204566734,0.7345942444500817,0.4514882564544678,0.008135966622240108,0.14365831017494202,465
実力レーティング,W2,42,5,0.7423835844640524,0.7377347291883181,0.4622916281223297,0.01739287581709321,0.14919090270996094,1060
実力レーティング,W2,7,5,0.7426013982866181,0.7377837978024792,0.46125781536102295,0.01427000995098188,0.14886748790740967,861
実力レーティング,W2,2026,5,0.7422014374224236,0.7374283151085205,0.460275262594223,0.01524789998227959,0.14896756410598755,851
騎手,W1,42,4,0.6533874525924925,0.6631644246472838,0.515377938747406,0.01394231949918915,0.16763730347156525,120
実力レーティング,W3,7,5,0.7533684122574151,0.7343346282213148,0.4504566192626953,0.01141461169535578,0.1436668187379837,494
騎手,W1,7,4,0.6538594749531608,0.663433477167831,0.5144700407981873,0.013813486185217045,0.1673375815153122,139
騎手,W1,2026,4,0.6534393302656856,0.6632876094135589,0.5139278173446655,0.011507476594194344,0.1675182729959488,125
実力レーティング,W3,2026,5,0.7538386450884801,0.7345705988804367,0.45040979981422424,0.008637569124565979,0.1437099426984787,611
騎手,W2,42,4,0.6518565047745124,0.6846486075339268,0.4996061623096466,0.023700297612349788,0.16214118897914886,285
騎手,W2,2026,4,0.6515936773353278,0.6838835136987332,0.5005424618721008,0.024424204466295105,0.16232256591320038,277
騎手,W2,7,4,0.6508362581333745,0.683320107164912,0.49981263279914856,0.02531159598617813,0.16219165921211243,335
騎手,W3,2026,4,0.6934682370599173,0.7240251598561767,0.4793977737426758,0.009880464492432448,0.15385061502456665,266
騎手,W3,7,4,0.6932379851219477,0.7237838537864681,0.4788067638874054,0.013137161858112898,0.1536264568567276,353
騎手,W3,42,4,0.6928592235454449,0.7228141429123679,0.4787541627883911,0.008216294686727733,0.15362314879894257,563
馬場適性,W1,42,4,0.6080476555295358,0.6184817418088077,0.5244372487068176,0.011195022796609059,0.17147746682167053,373
馬場適性,W2,42,4,0.610253832156128,0.637766900313286,0.516878068447113,0.007544193624340926,0.16572077572345734,213
馬場適性,W1,7,4,0.6079379625815742,0.6175926026613346,0.5246757864952087,0.011923679144426042,0.17155461013317108,420
馬場適性,W2,7,4,0.6099791932927479,0.6354287867320351,0.5157239437103271,0.007977669227877215,0.16573502123355865,412
馬場適性,W3,42,4,0.6029189917597658,0.5963925591393886,0.5063698887825012,0.008076186122917228,0.16346217691898346,69
馬場適性,W1,2026,4,0.6078345125975548,0.6174624515841391,0.5245980024337769,0.010604511011958754,0.17151422798633575,463
馬場適性,W3,7,4,0.6031330764634828,0.5966656351539532,0.5066385269165039,0.013287066947374034,0.16353139281272888,64
馬場適性,W3,2026,4,0.6030994543391521,0.5971225403150899,0.506249725818634,0.015968308137600775,0.16342793405056,74
馬場適性,W2,2026,4,0.6098677287896118,0.6357513216754778,0.514980673789978,0.009186819199494687,0.16583628952503204,347
厩舎,W1,42,3,0.6107304674962118,0.6232652186708006,0.5298466682434082,0.009607433004512817,0.1719028502702713,101
厩舎,W1,7,3,0.611343940490982,0.6236381711700751,0.5295805931091309,0.011494236189809664,0.17183928191661835,116
厩舎,W1,2026,3,0.6101139748069261,0.6228037430498305,0.53001469373703,0.014316487405724242,0.1720050424337387,102
厩舎,W2,42,3,0.5735525750671809,0.5821808680885033,0.5168656706809998,0.023675977046439048,0.16744591295719147,98
厩舎,W2,7,3,0.5771220432610616,0.5839580462172217,0.5167535543441772,0.0266689718601993,0.16740219295024872,87
厩舎,W2,2026,3,0.5675788775278076,0.5771931670130888,0.5176095366477966,0.0285112974631491,0.16768579185009003,110
厩舎,W3,42,3,0.6225141088925703,0.6240723054842685,0.5037222504615784,0.02013221504960215,0.16279985010623932,252
厩舎,W3,7,3,0.6223427075949184,0.6237053747471137,0.5038191676139832,0.02108132744502502,0.1628081500530243,287
厩舎,W3,2026,3,0.622526556232216,0.6236505655292703,0.503313422203064,0.020564760235098737,0.1627078354358673,300
血統,W2,42,3,0.5744640078003761,0.5863845303721777,0.5162615776062012,0.009430619326497308,0.16780325770378113,217
血統,W1,42,3,0.5910012085563892,0.6166884264768749,0.53850919008255,0.013870932541631954,0.17372889816761017,920
血統,W2,7,3,0.575758707298214,0.5865162037037037,0.5166437029838562,0.011846356379615581,0.16792826354503632,332
血統,W3,42,3,0.5726604628998695,0.562932259202007,0.5134053826332092,0.009504703109453625,0.16621823608875275,116
血統,W1,2026,3,0.5909453272432768,0.6164845344499368,0.5355469584465027,0.012444387618059046,0.17355535924434662,811
血統,W3,7,3,0.5721507419568248,0.562574544174047,0.5130767226219177,0.008033224079318859,0.16609062254428864,103
血統,W2,2026,3,0.5751483263769934,0.5866837665491844,0.5165894031524658,0.011142408323748139,0.16788288950920105,279
血統,W3,2026,3,0.5720103874718527,0.5628450737426499,0.5133546590805054,0.008299503583427566,0.16622811555862427,114
ローテーション,W1,42,2,0.5208083416855595,0.5326515240589194,0.5377408862113953,0.017829231367683974,0.17636309564113617,76
ローテーション,W1,7,2,0.5211482439288871,0.5320785025082118,0.5376615524291992,0.013794961052981084,0.17634226381778717,160
ローテーション,W1,2026,2,0.5207616212434492,0.5329890503185134,0.5378032326698303,0.014814011598556684,0.17639204859733582,137
