axis,cond,TUNE_race,TUNE_horse,TUNE_ai3,TUNE_mk3,TUNE_d3,TUNE_ai1,TUNE_mk1,TUNE_d1,TUNE_field,TUNE_dll,CONF_race,CONF_horse,CONF_ai3,CONF_mk3,CONF_d3,CONF_ai1,CONF_mk1,CONF_d1,CONF_field,CONF_dll,CONF_lo,CONF_hi
芝ダート,ダート,818,11581,0.7873811053792613,0.8073048733721077,-0.019923767992846342,0.8103191848313572,0.8302835531975097,-0.019964368366152452,14.63802780416199,0.013587408256736211,807,10652,0.7971191493937811,0.8149296481822879,-0.017810498788506712,0.8049509158964648,0.8212950742900933,-0.01634415839362846,14.259857303792716,0.015239131933244943,-0.024062683269669975,-0.011669826908981468
芝ダート,芝,928,12079,0.7782850162636211,0.8036240641185358,-0.025339047854914698,0.7872399561706256,0.8070600530007193,-0.01982009683009367,14.051908270552198,0.016628114354937384,924,11747,0.7819618690044855,0.8037506803795356,-0.021788811375050066,0.7941918601884635,0.8184334832771177,-0.024241623088654185,14.11637013705627,0.013957758196884884,-0.02802797851444224,-0.01461988812746039
距離帯,ダ1800,214,2855,0.7886420232750964,0.805185092901898,-0.016543069626801632,0.8261756556387944,0.8575120228460615,-0.03133636720726718,13.833625218914186,0.015454631932054652,237,3033,0.7975191950977784,0.8144914150704495,-0.016972219972671176,0.8123975426532176,0.8278032167125654,-0.015405674059347785,13.95351137487636,0.01907370203142822,-0.028461641664256975,-0.004484975244617402
距離帯,ダ〜1200,195,2815,0.7952463428119338,0.8154166246651332,-0.020170281853199357,0.8268839303190448,0.8386592288119006,-0.011775298492855746,14.93747779751332,0.01400350718082971,215,2915,0.8008023617976663,0.8150153024095065,-0.014212940611840197,0.802895723440429,0.8157550096633099,-0.012859286222880906,14.485420240137222,0.010821245492741716,-0.027359907265858487,-0.002116452475558321
距離帯,芝2000,173,2156,0.7930902111324377,0.8068681141300839,-0.013777902997646141,0.7862670852535569,0.7798512792260224,0.006415806027534554,13.560296846011132,0.002339673614746074,188,2331,0.7888062356141453,0.7977458673362628,-0.008939631722117536,0.7956947788636566,0.8051883501460952,-0.009493571282438662,13.815958815958815,-0.0006804653213967615,-0.021802028191231733,0.0039273583424457095
距離帯,芝1800,180,2264,0.7896558391337973,0.8170694766692446,-0.027413637535447233,0.7994817292313731,0.8198757105004204,-0.020393981269047345,13.76148409893993,0.019050646942221305,164,1984,0.7842622950819673,0.812329726061645,-0.028067430979677677,0.8068950500280214,0.8350520983926066,-0.028157048364585213,13.475806451612904,0.01976050180632738,-0.04586342553475288,-0.012050036008883694
距離帯,芝2200-2400,63,782,0.7999946465376483,0.8281850870383753,-0.028190440500727054,0.8180894982007638,0.8579707265381813,-0.039881228337417474,13.49616368286445,0.016777637998686534,70,813,0.8031572556162719,0.8216540896868766,-0.01849683407060465,0.7973273456574816,0.826800662713638,-0.0294733170561563,13.760147601476016,0.02002777438761144,-0.03951228386952815,-0.0003381785202359604
距離帯,芝〜1200,186,2579,0.7569693841900191,0.788643969503014,-0.03167458531299483,0.7604752211872442,0.7985005549339697,-0.038025333746725454,14.702985653354013,0.01933492388353719,201,2711,0.7582962544146448,0.7924686775322238,-0.034172423117579065,0.7741546349793773,0.8203775033671942,-0.04622286838781686,14.644411656215418,0.020612471512974795,-0.05195357212225924,-0.014862043630318294
距離帯,ダ1400,164,2450,0.7822369587096198,0.8206091204300162,-0.03837216172039637,0.7855924673430144,0.8232915589151913,-0.03769909157217699,15.277551020408163,0.025399376290355213,116,1638,0.8047830205449263,0.8241517943023564,-0.01936877375743007,0.80268176212011,0.8127573448025047,-0.010075582682394724,15.376068376068377,0.013524685869295394,-0.03542991053258926,-0.005385724583286434
距離帯,芝1600,149,1959,0.7965685404164151,0.8217784938981807,-0.02520995348176558,0.8241647817864955,0.8425840780154993,-0.018419296229003734,14.120980091883615,0.022765263373726086,153,1984,0.7795834168132204,0.801061864161528,-0.021478447348307617,0.7819017081997337,0.8059833867731714,-0.02408167857343768,14.13508064516129,0.01567807321504089,-0.035116540074693156,-0.007685102302790195
距離帯,芝2500〜,90,1070,0.7480138888888889,0.7914768518518518,-0.043462962962962925,0.7916666666666667,0.8100736961451248,-0.01840702947845807,12.532710280373832,0.031285482423451916,61,711,0.7847376824304572,0.8058366502507365,-0.021098967820279313,0.8174361576188061,0.7848243982186143,0.03261175940019179,13.028129395218002,0.014629171999320068,-0.05340078795120607,0.008098304270442294
距離帯,ダ2000,21,289,,,,,,,,,26,310,,,,,,,,,,
距離帯,芝1400,87,1269,0.7478372255671106,0.7692863224472419,-0.021449096880131302,0.7302545850594161,0.7577698037614019,-0.02751521870198581,15.598896769109535,0.009155600388504492,87,1213,0.7999533324848331,0.8161596877518985,-0.016206355267065375,0.8188091695240559,0.8462670634663906,-0.027457893942334666,15.407254740313272,0.010447608889635973,-0.046063421464033465,0.009798983177985585
距離帯,ダ1700,128,1770,0.7749378081409332,0.7759402056277056,-0.0010023974867724439,0.8054987248781973,0.8012308731729598,0.004267851705237469,14.284745762711864,-0.0005258787145243637,152,1966,0.7885044470266998,0.8107123342950516,-0.022207887268351878,0.8006596905438199,0.8256067786343002,-0.024947088090480296,13.438453713123092,0.01700697330346429,-0.039335864990726783,-0.005576871519589351
距離帯,ダ2100〜,25,361,,,,,,,,,24,285,,,,,,,,,,
距離帯,ダ1600,71,1041,0.7889850715908193,0.8092700787668524,-0.0202850071760331,0.7821112240453028,0.8083200232321764,-0.026208799186873688,15.261287223823247,0.006350351921951991,37,505,,,,,,,,,,
頭数,13-15頭,518,7258,0.7783230803666823,0.8003167509851249,-0.021993670618442596,0.8110779562527114,0.8267870801653081,-0.015709123912596712,14.221548635987876,0.014887589315491723,560,7486,0.7864031862745098,0.8059516150210084,-0.019548428746498647,0.7994652571157156,0.8148354042694292,-0.015370147153713654,14.214266631044616,0.0123088674544094,-0.028542712363068202,-0.01072646204484167
頭数,16頭〜,682,10985,0.7761524334642792,0.8101900156112575,-0.034037582146978274,0.7859443894000068,0.8184913541965825,-0.032546964796575706,16.4117432862995,0.019354182852437396,588,9254,0.7850214997551015,0.8126281474494419,-0.027606647694340403,0.7958796311946366,0.8280250671411286,-0.032145435946491996,16.444564512643183,0.016575189793410328,-0.0355662948127521,-0.0204937333676174
頭数,〜9頭,200,1601,0.7744242928452579,0.7919251247920134,-0.017500831946755446,0.7836509635974305,0.8088062098501069,-0.0251552462526764,8.138038725796378,0.004551534799951518,180,1422,0.764223105717142,0.7803986717985463,-0.016175566081404247,0.7816849318176662,0.8188800399337463,-0.03719510811608007,8.164556962025317,0.010433972474161446,-0.03739747102451184,0.002422785353456093
頭数,10-12頭,346,3816,0.7693125138550212,0.7828812555420084,-0.013568741686987185,0.7875164498342524,0.7931202212190369,-0.005603771384784517,11.19601677148847,0.007929531109026167,403,4237,0.7763993826075871,0.7932593863514473,-0.016860003743860208,0.790538886338661,0.8000476428939058,-0.009508756555244857,11.21666273306585,0.01555832191428752,-0.027437695272405346,-0.004022934089257139
クラス,未勝利,593,8450,0.8232668076074323,0.8346836834391793,-0.011416875831746998,0.8385404493173829,0.8519266500844244,-0.013386200767041445,14.874556213017751,0.0068819647795980154,669,9314,0.8215700514725434,0.8369294122273536,-0.015359360754810258,0.8253962827502854,0.8427382457561539,-0.017341963005868433,15.023620356452652,0.013916019639357013,-0.021091876266471056,-0.008489999865364573
