feat,spread_ex,spread_cf,hi_cf,lo_cf,rho,nbin
cl_f_course_fukusho_rank,3.631178909477809,3.140634221809754,1.1403714507687819,-2.000262771040972,0.7212121212121211,10
rl_f_late_speed_vs_field,1.3525691193629013,3.116412136506206,1.2615354208661638,-1.854876715640042,0.29696969696969694,10
rl_f_finish_time_rank,2.5493512767436926,3.1132120682325826,1.039985292941875,-2.0732267752907076,0.16363636363636364,10
f_last1_rank,3.639935833617195,3.111709395948081,0.8264816798332627,-2.285227716114818,0.5151515151515151,10
cl_f_weight_load_rank,2.7400067329387516,3.096170861372613,1.0072924362323443,-2.0888784251402686,-0.05454545454545454,10
f_speed_fig_max,3.7466610871630106,3.060722072039433,0.7989763807857675,-2.2617456912536653,0.07878787878787878,10
f_speed_max,2.0624337231505367,2.9902897680605713,1.3123377967234773,-1.6779519713370938,0.12727272727272726,10
f_same_turn_rate,1.2903066949688573,2.9591478238657842,1.331087142336899,-1.628060681528885,0.5878787878787878,10
rl_f_speed_avg_vs_field,2.773641045644273,2.95051635161508,1.1903790668570013,-1.7601372847580787,0.309090909090909,10
f_days_since_last,3.550142213782057,2.9068094792266286,1.1401780987496632,-1.7666313804769653,0.09523809523809526,8
f_same_course_rate,5.703906211192895,2.900989814221619,0.7888740333696702,-2.112115780851949,0.33333333333333326,10
f_course_fukusho,5.703906211192895,2.900989814221619,0.7888740333696702,-2.112115780851949,0.33333333333333326,10
f_speed_fig_avg,4.341456492059309,2.8759404069608943,1.0889948976744142,-1.7869455092864799,0.5757575757575757,10
f_dist_fukusho,4.300437036215545,2.8746187978967557,1.5880793741110308,-1.2865394237857246,0.34545454545454546,10
rl_f_speed_avg_rank,3.0880870286842255,2.8302422688971465,0.8014897729844438,-2.028752495912703,0.06666666666666665,10
f_pace,1.7108822597951439,2.8299706425638567,0.8388583278288644,-1.9911123147349923,0.406060606060606,10
cl_f_weight_load_vs_field,2.0893659075469184,2.7415262042120263,1.1679786262561114,-1.5735475779559152,0.7575757575757575,10
cl_f_dist_fukusho_rank,2.8119691130570637,2.733913849939397,1.2973617162117823,-1.4365521337276146,0.18787878787878787,10
cl_f_course_fukusho_vs_field,2.327809136270551,2.67542421895049,1.2111082109463174,-1.4643160080041728,0.4424242424242424,10
rl_f_finish_time_vs_field,2.3497446864643248,2.6630061201585637,1.1453400309676656,-1.5176660891908982,0.24848484848484845,10
f_dist_change,1.862273393980134,2.6498917241420465,0.4418924873259909,-2.2079992368160557,-0.10714285714285716,7
f_tight_vs_spacious,4.292929959129674,2.643226240745668,1.4535996350654634,-1.1896266056802047,0.7714285714285715,6
f_speed_score,4.511101652903155,2.6339771626705923,0.9550425025378109,-1.6789346601327815,0.5878787878787878,10
cl_f_pace_fit_vs_field,3.1617364739431286,2.629943268000699,1.0846694687524419,-1.545273799248257,0.32121212121212117,10
f_style_total_fit,3.36889503739146,2.620623454959429,0.9943514784054275,-1.6262719765540015,0.5272727272727272,10
cl_f_style_total_fit_vs_field,1.8987678486396327,2.6186475910353595,1.4146112162058366,-1.2040363748295226,0.1515151515151515,10
f_pace_x_style,1.2394308090454307,2.564941305678383,0.696273290193705,-1.8686680154846784,0.29696969696969694,10
f_pos_avg_3,2.659514916894193,2.554018715880858,1.0883396488270252,-1.4656790670538329,0.43030303030303024,10
f_p_front,3.1565967692756756,2.442596657553957,0.7014496179076526,-1.7411470396463042,-0.26666666666666666,9
f_last3_pos3c,3.818463384506023,2.4365138432694344,0.741369231442542,-1.6951446118268927,0.19999999999999998,10
f_last1_pos3c,2.6780115616702904,2.419387920755331,0.7187948858899184,-1.7005930348654128,0.12727272727272726,10
f_cl_rank,3.657819001567235,2.416338421956871,0.7532310673284329,-1.6631073546284378,0.8303030303030302,10
f_last2_3f,2.6578085351766503,2.352165706696357,0.6994903199841147,-1.6526753867122423,0.28484848484848485,10
f_speed_last,2.184047151566533,2.3477097440518877,0.7028633927494938,-1.6448463513023939,0.32121212121212117,10
f_dist_vs_optimal,1.1896425204870316,2.329709791347172,0.2780366837564769,-2.051673107590695,0.07142857142857144,8
f_pace_fit,4.743478985345645,2.310530194871827,0.7547435065435061,-1.555786688328321,0.35,9
f_last1_3f,1.813048495780176,2.301951691049227,1.034331632415456,-1.2676200586337711,0.12727272727272726,10
cl_f_blood_rank,2.487269279573632,2.2600416280123854,0.7709938238066588,-1.4890478042057267,-0.12727272727272726,10
f_class_jump,3.0458006345354725,2.2477848559634808,0.55404526232031,-1.6937395936431705,-0.7142857142857144,8
f_last3_3f,2.5491320250285434,2.2165248203412653,0.5971672429360096,-1.6193575774052555,0.4545454545454545,10
f_speed_avg,1.7489585223940285,2.195810167055957,0.5572666474109232,-1.6385435196450335,0.04242424242424241,10
rl_f_recent_fukusho_vs_field,2.5184304062067477,2.12336953305313,0.6515197039138039,-1.4718498291393258,0.2727272727272727,10
rl_f_recent_fukusho_rank,3.570666505816736,2.1027138244333585,0.9690772734689345,-1.133636550964424,0.09090909090909088,10
f_style_course_fit,3.601358013354856,2.014554842855352,0.7547104323258411,-1.259844410529511,0.06666666666666665,10
f_last2_pos3c,3.1678485194428774,2.013313200789033,0.6113579664418153,-1.401955234347218,0.13939393939393938,10
f_weight_load,2.4304819622055795,1.959274236423116,0.6216825848691608,-1.337591651553955,0.5151515151515151,10
f_blood,2.737012698259508,1.928284904617903,0.7642799122933988,-1.1640049923245042,0.16363636363636364,10
rl_f_late_speed_rank,1.2942952331172832,1.9202409622703365,0.8891399423781411,-1.0311010198921955,0.5393939393939393,10
