win,period,race_id,field,p1,top3sum,resid,n_eff,ax_hit,top3_hits,rand3,cut5,cut10,cut15,cut20
W1,確認,20260725_04_10,15,0.55281687,1.424617,1.2374129,7.7939873,0,1,0.6,4,6,11,11
W1,確認,20260725_04_11,18,0.7318511,1.8330716,1.5426244,7.809701,0,1,0.5,5,7,12,13
W1,確認,20260725_04_12,17,0.45725998,1.1436921,1.8327317,11.373949,0,0,0.5294117647058824,4,4,9,9
W1,確認,20260725_07_01,9,0.7318511,1.6913105,1.1243473,6.019582,0,2,1.0,1,2,2,3
W1,確認,20260725_07_02,13,0.45336214,1.2870867,1.5987458,9.655155,1,2,0.6923076923076923,0,2,5,6
W1,確認,20260725_07_03,12,0.70240545,1.9576278,1.3194468,6.5922146,1,2,0.75,3,3,6,7
W1,確認,20260725_07_04,16,0.55281687,1.6130568,1.7516738,8.825355,0,2,0.5625,4,6,8,9
W1,確認,20260725_07_05,16,0.55281687,1.6138029,1.6124953,8.846106,0,1,0.5625,3,5,9,10
W1,確認,20260725_07_06,16,0.5063324,1.2836294,1.9273806,10.793103,0,1,0.5625,3,4,7,9
W1,確認,20260725_07_07,11,0.6329041,1.5702577,1.1409851,6.9878893,0,2,0.8181818181818182,1,3,3,6
W1,確認,20260725_07_08,8,0.7318511,1.7612675,1.4244274,6.6718984,1,2,1.125,0,0,1,1
W1,確認,20260725_07_09,16,0.7318511,1.6279397,1.530798,7.945728,1,2,0.5625,6,8,8,10
W1,確認,20260725_07_10,12,0.66448027,1.6908767,1.723411,7.300306,0,1,0.75,3,5,5,5
W1,確認,20260725_07_11,8,0.71096444,1.8662335,1.1695238,6.0284348,1,2,1.125,0,1,1,1
W1,確認,20260725_07_12,16,0.7318511,1.815161,1.8556275,8.402418,1,2,0.5625,4,6,9,9
W1,確認,20260726_01_01,12,0.7318511,1.5401601,1.0209044,6.1468825,1,1,0.75,3,5,5,6
W1,確認,20260726_01_02,10,0.71096444,1.685484,1.1176913,6.098239,1,2,0.9,3,4,4,5
W1,確認,20260726_01_03,16,0.53062075,1.3541028,1.8358047,10.216508,1,1,0.5625,4,5,7,9
W1,確認,20260726_01_04,11,0.53062075,1.4849548,1.501004,7.9310346,1,1,0.8181818181818182,2,2,3,3
W1,確認,20260726_01_05,10,0.55281687,1.6026307,1.6627281,8.150297,1,3,0.9,0,0,2,3
W1,確認,20260726_01_06,12,0.71096444,1.6948196,1.3165118,6.8600807,1,2,0.75,3,4,6,6
W1,確認,20260726_01_08,12,0.6234849,1.3571538,1.3611698,7.6988287,1,2,0.75,3,4,4,5
W1,確認,20260726_01_09,8,0.55281687,1.5319687,1.1209848,6.382269,1,3,1.125,1,1,1,1
W1,確認,20260726_01_10,9,0.49234477,1.344266,1.2210025,7.332326,0,1,1.0,0,0,3,3
W1,確認,20260726_01_11,12,0.7318511,1.8152888,1.5219871,7.412309,0,1,0.75,1,4,4,4
W1,確認,20260726_01_12,9,0.55281687,1.5367998,1.1522559,6.464313,1,1,1.0,1,2,3,3
W1,確認,20260726_04_01,11,0.71096444,1.8488617,1.016277,5.947667,1,2,0.8181818181818182,2,4,4,4
W1,確認,20260726_04_02,9,0.55281687,1.1081932,1.1745538,7.4359894,1,1,1.0,0,0,2,2
W1,確認,20260726_04_03,15,0.70240545,1.7064781,1.7986308,8.156947,0,1,0.6,6,6,6,8
W1,確認,20260726_04_04,18,0.66448027,1.6706592,1.7831614,8.879939,0,0,0.5,6,9,11,12
W1,確認,20260726_04_05,15,0.53049296,1.3559912,1.6088657,9.219212,1,2,0.6,3,6,7,8
W1,確認,20260726_04_06,11,0.45336214,1.1612525,1.5040369,8.815923,0,1,0.8181818181818182,1,2,2,4
W1,確認,20260726_04_07,14,0.6649788,1.4115944,1.5377715,8.732246,1,1,0.6428571428571429,0,4,7,8
W1,確認,20260726_04_08,15,0.45801434,1.0840294,1.8316954,10.886466,0,0,0.6,3,4,6,7
W1,確認,20260726_04_10,14,0.46892747,1.2763832,1.4704865,9.053443,0,1,0.6428571428571429,4,4,6,7
W1,確認,20260726_04_11,15,0.47747746,1.1703902,1.7446588,9.951278,0,1,0.6,2,6,6,6
W1,確認,20260726_04_12,15,0.7318511,1.5753033,1.3491337,7.5178957,0,1,0.6,6,6,7,9
W1,確認,20260726_07_01,9,0.7318511,1.9365275,1.1649274,5.8144827,1,2,1.0,1,2,3,3
W1,確認,20260726_07_03,10,0.7318511,1.7835016,1.3906192,6.459564,1,2,0.9,3,3,3,3
W1,確認,20260726_07_04,15,0.70190686,1.73886,1.9207457,8.528248,1,2,0.6,3,5,6,8
W1,確認,20260726_07_05,16,0.7318511,2.0608115,1.4390538,7.266715,1,2,0.5625,5,6,10,10
W1,確認,20260726_07_06,10,0.70190686,1.9566306,1.2924026,6.373042,1,1,0.9,1,2,4,5
W1,確認,20260726_07_07,14,0.55281687,1.514073,1.8807759,8.478097,0,1,0.6428571428571429,4,6,6,6
W1,確認,20260726_07_08,12,0.42222825,1.1210364,1.5578978,9.218948,0,1,0.75,2,2,3,6
W1,確認,20260726_07_09,14,0.71096444,1.9282615,1.7117492,7.622209,1,1,0.6428571428571429,2,5,7,7
W1,確認,20260726_07_10,16,0.55281687,1.4751065,1.7564193,9.932917,1,1,0.5625,3,5,6,9
W1,確認,20260726_07_11,16,0.49699697,1.4434019,1.9437189,10.51007,0,2,0.5625,3,3,8,8
W1,確認,20260726_07_12,15,0.7318511,1.7232875,1.3109376,6.788474,0,1,0.6,4,6,8,8
W1,確認,20260801_01_01,12,0.7318511,1.7930927,1.4888365,7.4242544,0,2,0.75,2,2,3,6
W1,確認,20260801_01_02,9,0.6412427,1.7078279,1.3777199,6.7623477,0,1,1.0,1,1,1,3
W1,確認,20260801_01_03,11,0.7318511,1.6401267,1.1736858,6.682249,0,2,0.8181818181818182,2,3,4,5
W1,確認,20260801_01_04,11,0.70240545,1.7729461,1.3774996,7.2620087,1,1,0.8181818181818182,0,1,5,7
W1,確認,20260801_01_05,12,0.4779403,1.3372731,1.6326668,9.487444,1,3,0.75,1,1,3,3
W1,確認,20260801_01_06,9,0.49699697,1.2271129,1.2135735,7.396036,1,2,1.0,0,1,1,1
W1,確認,20260801_01_07,12,0.49699697,1.3028113,1.5792497,8.992199,0,1,0.75,1,2,3,5
W1,確認,20260801_01_08,11,0.55281687,1.2520447,1.329467,8.326597,1,1,0.8181818181818182,0,1,3,6
W1,確認,20260801_01_10,13,0.55281687,1.558868,1.6903005,8.157365,1,2,0.6923076923076923,4,4,5,6
W1,確認,20260801_01_11,16,0.4150747,0.96951663,1.8186753,12.133991,1,2,0.5625,0,4,6,10
W1,確認,20260801_01_12,8,0.45336214,1.2520576,0.90309083,6.6527195,1,2,1.125,0,0,1,2
W1,確認,20260801_04_01,11,0.55281687,1.6362545,1.1729982,7.022571,0,1,0.8181818181818182,1,2,5,6
W1,確認,20260801_04_02,8,0.55281687,1.4462037,1.0924667,6.637604,1,2,1.125,0,0,1,1
W1,確認,20260801_04_03,18,0.51534146,1.1431776,2.2681003,13.229813,0,0,0.5,2,4,6,9
W1,確認,20260801_04_04,14,0.55281687,1.2829328,1.5795903,9.355704,0,1,0.6428571428571429,1,3,5,8
W1,確認,20260801_04_05,15,0.7318511,1.647434,1.5995711,8.074792,0,2,0.6,4,5,7,8
W1,確認,20260801_04_06,12,0.4821607,1.0541632,1.4758227,9.238492,1,2,0.75,1,2,4,4
W1,確認,20260801_04_07,15,0.5591232,1.4186792,1.5843577,8.866193,0,1,0.6,5,5,7,9
W1,確認,20260801_04_08,12,0.55281687,1.2702938,1.3837653,8.454595,0,2,0.75,0,2,5,7
W1,確認,20260801_04_09,14,0.70240545,1.6862606,1.9370419,9.191154,0,2,0.6428571428571429,2,3,3,7
W1,確認,20260801_04_10,14,0.7318511,1.203504,1.3777586,7.8547673,1,1,0.6428571428571429,2,3,8,12
W1,確認,20260801_04_11,18,0.47343194,1.3078272,1.8551251,10.202553,1,2,0.5,6,7,9,12
W1,確認,20260801_04_12,17,0.6412427,1.1947503,1.6570436,9.425825,0,1,0.5294117647058824,4,7,9,10
W1,確認,20260801_07_01,10,0.70240545,1.4521374,1.485478,7.884733,1,1,0.9,0,0,0,1
W1,確認,20260801_07_02,13,0.55281687,1.4487777,1.842164,9.8061695,1,1,0.6923076923076923,1,1,3,7
W1,確認,20260801_07_03,16,0.7318511,1.5527593,1.3895153,7.9839187,1,2,0.5625,3,6,9,10
W1,確認,20260801_07_04,16,0.66448027,1.5164825,1.655891,8.749524,1,2,0.5625,4,6,8,9
W1,確認,20260801_07_05,16,0.71096444,1.5511646,1.5413735,8.2174015,1,2,0.5625,3,6,10,11
W1,確認,20260801_07_06,16,0.70190686,1.4774243,1.7679855,8.953344,1,3,0.5625,5,6,7,8
W1,確認,20260801_07_07,11,0.7318511,1.4629014,1.6186976,8.164719,0,1,0.8181818181818182,0,0,1,4
W1,確認,20260801_07_08,13,0.8068011,1.4490227,1.4996387,7.5615335,1,2,0.6923076923076923,2,3,3,6
W1,確認,20260801_07_10,16,0.70240545,1.454377,1.8394185,9.668188,1,2,0.5625,2,3,7,9
W1,確認,20260801_07_11,9,0.6404161,1.4994909,1.4488437,7.374379,1,2,1.0,0,1,1,1
W1,確認,20260801_07_12,11,0.55281687,1.3265032,1.3862243,8.256528,1,2,0.8181818181818182,1,2,2,3
W1,確認,20260802_01_01,14,0.6001186,1.6380851,1.4100767,7.7984843,1,2,0.6428571428571429,4,6,6,7
W1,確認,20260802_01_02,14,0.53049296,1.4303553,1.4048079,8.390613,0,2,0.6428571428571429,4,5,7,7
W1,確認,20260802_01_03,11,0.7318511,1.783343,1.027642,5.724329,1,3,0.8181818181818182,2,4,4,4
W1,確認,20260802_01_04,13,0.7318511,1.5714017,1.2383358,7.2385893,1,2,0.6923076923076923,2,4,6,9
W1,確認,20260802_01_05,10,0.45336214,1.2672933,1.714601,8.70748,0,1,0.9,0,0,2,2
W1,確認,20260802_01_06,10,0.45336214,1.315947,1.4127284,8.318576,1,1,0.9,0,1,2,2
W1,確認,20260802_01_07,12,0.5526891,1.2697995,1.2625045,7.959382,0,1,0.75,1,3,5,6
W1,確認,20260802_01_08,14,0.38618854,1.0999832,1.7584823,10.571609,1,2,0.6428571428571429,1,4,5,5
